mod_id,mod_mrc_id,model,trim,body,mod_trm_id
267,13,5 Series,528i xDrive,Sedan,1
268,10,Sienna,LE 8-Passenger,Minivan,1
269,2,Forte,LX,Sedan,2
270,13,X5,3.0i,SUV,1
271,5,Mustang,V6,Coupe,1
272,31,2500,Laramie,Crew Cab,1
273,13,X5,xDrive35d,SUV,1
274,32,9-5,Turbo4 Premium,Sedan,1
275,3,GL-Class,GL450 4MATIC,SUV,1
276,12,Pathfinder,SV,SUV,1
277,12,Versa,1.6 S Plus,Sedan,2
278,1,Traverse,LT,SUV,1
279,1,Captiva Sport,LT Fleet,SUV,1
280,33,500,Sport,Hatchback,1
281,5,Fusion,SEL,Sedan,1
282,3,C-Class,C250 Sport,Sedan,1
283,13,3 Series,335i,Coupe,1
284,6,Sonata,SE,Sedan,1
285,12,Rogue,SV,SUV,1
286,4,Accord,EX,Sedan,1
287,10,Yaris,Base,Hatchback,1
288,34,Range Rover,Supercharged,SUV,1
289,7,PT Cruiser,Base,Wagon,1
290,15,Galant,ES,Sedan,1
291,3,C-Class,C230 Kompressor,Sedan,1
292,12,Sentra,XE,Sedan,1
293,5,Fusion Hybrid,Titanium,Sedan,1
294,27,CX-5,Touring,SUV,1
295,12,Sentra,S,Sedan,1
296,31,1500,Laramie,Crew Cab,1
297,10,Corolla,LE,Sedan,1
298,5,Escape,Titanium,SUV,1
299,5,F-150,FX4,SuperCab,1
300,6,Accent,GLS,Sedan,1
301,13,X3,xDrive28i,SUV,1
302,3,CLS-Class,CLS550,Sedan,1
303,24,LS 430,Base,Sedan,1
304,11,New Beetle,GLS,Hatchback,1
305,2,K900,Luxury,Sedan,1
306,23,Outback,2.5i Limited,Wagon,1
307,23,Outback,2.5i Limited PZEV,Wagon,1
308,23,XV Crosstrek,Hybrid Touring,SUV,1
309,5,C-Max Energi,SEL,Wagon,1
310,4,Accord,LX-P,Sedan,1
311,10,RAV4,LE,SUV,1
312,5,F-250 Super Duty,Lariat,Crew Cab,1
313,1,Suburban,LTZ,SUV,1
314,5,Ranger,XL,Regular Cab,2
315,6,Santa Fe,Limited,SUV,1
316,3,M-Class,ML320 CDI,SUV,1
317,3,CLK-Class,CLK320,Convertible,1
318,5,Shelby GT500,Base,Coupe,2
319,4,Odyssey,EX-L,Minivan,1
320,34,Freelander,HSE,SUV,1
321,10,Camry,SE,sedan,1
322,15,Outlander,ES,SUV,1
323,5,Ranger,XLT,SuperCab,1
324,21,Grand Cherokee,Limited,SUV,1
325,1,Cruze,1LT,Sedan,1
326,3,E-Class,E350 Luxury 4MATIC,Sedan,1
327,35,Panamera,Base,Sedan,1
328,10,Highlander Hybrid,Limited,SUV,1
329,11,Jetta,SportWagen TDI,Wagon,1
330,12,Pathfinder,S,SUV,1
331,14,Enclave,Leather Group,SUV,1
332,2,Optima,LX,sedan,1
333,2,Sportage,LX,SUV,1
334,17,G Coupe,G37 Sport,G Coupe,1
335,1,TrailBlazer,Fleet,SUV,1
