mod_id,mod_mrc_id,model,trim,body,mod_trm_id
1964,15,R-Class,R320 CDI,Wagon,1
1965,39,Mountaineer,Premier,SUV,1
1966,4,Frontier,LE,Crew Cab,1
1967,16,Eclipse,SE,Hatchback,1
1968,36,G8,Base,Sedan,1
1969,36,Grand Prix,GXP,Sedan,1
1970,37,Outlook,XR,SUV,1
1971,41,9-7X,5.3i,SUV,1
1972,37,Astra,XR,Hatchback,2
1973,24,Tribeca,Limited 5-Passenger,SUV,1
1974,42,XL7,Premium,SUV,1
1975,42,Grand Vitara,Luxury,SUV,1
1976,34,fortwo,passion,Hatchback,1
1977,24,Outback,3.0 R L.L.Bean Edition,Wagon,1
1978,24,Forester,2.5 X Premium Package,Wagon,1
1979,42,Forenza,Base,Sedan,1
1980,42,XL7,Limited,SUV,1
1981,37,Sky,Red Line,Convertible,1
1982,24,Outback,2.5I Limited,Wagon,1
1983,23,Yaris,Base,Hatchback,1
1984,23,Highlander Hybrid,Base,SUV,1
1985,23,Yaris,S,Hatchback,2
1986,22,New Beetle,S,Hatchback,1
1987,22,Eos,Komfort,Convertible,2
1988,22,New Beetle,SE PZEV,Convertible,1
1989,2,M6,Base,Convertible,1
1990,2,5 Series,525xi,Sedan,1
1991,6,S8,quattro,Sedan,1
1992,2,5 Series,530xi,Sedan,1
1993,2,7 Series,760Li,Sedan,1
1994,2,M6,Base,Convertible,2
1995,2,3 Series,328xi,Sedan,2
1996,2,6 Series,650i,Convertible,2
1997,2,Z4,3.0i,Convertible,2
1998,8,CTS,Base,Sedan,2
1999,12,Terraza,CXL,Minivan,1
2000,12,Terraza,CX,Minivan,1
2001,12,Lucerne,CXS,Sedan,1
2002,5,Silverado 1500 Classic,Work Truck,Regular Cab,1
2003,5,Aveo,LT,Sedan,1
2004,5,Silverado 2500HD Classic,LT3,Crew Cab,1
2005,5,Silverado 2500HD Classic,LS,Extended Cab,1
2006,5,Silverado 1500 Classic,Work Truck,Extended Cab,1
2007,5,Silverado 1500,LT1,Extended Cab,1
2008,5,Silverado 2500HD,LTZ,Extended Cab,1
2009,5,Cobalt,LTZ,Sedan,1
2010,5,Corvette,Base,Convertible,2
2011,5,Cobalt,LT,Coupe,2
2012,27,Dakota,SLT,Quad Cab,1
2013,27,Dakota,ST,Quad Cab,1
2014,27,Dakota,ST,Club Cab,2
2015,27,Ram Pickup 2500,SLT,Mega Cab,1
2016,7,Edge,SEL Plus,SUV,1
2017,7,Five Hundred,SEL,Sedan,1
2018,7,F-150,XLT,Regular Cab,1
2019,7,Taurus,SE Fleet,Sedan,1
2020,7,Focus,ZX5 SES,Hatchback,1
2021,7,Ranger,XL,SuperCab,2
2022,32,Yukon XL,SLE 1500,SUV,1
2023,32,Envoy,Denali,SUV,1
2024,31,Accord,EX-L,Sedan,2
2025,32,Sierra 1500,SLE1,Regular Cab,1
2026,31,Accord,Special Edition,Sedan,1
2027,11,Accent,SE,Hatchback,2
2028,31,Accord,Special Edition V-6,Sedan,1
2029,31,Element,SC,SUV,1
2030,7,Focus ST,Base,Hatchback,2
2031,7,Fusion Energi,Titanium,Sedan,1
2032,13,M35,x,Sedan,1
2033,11,Tiburon,SE,Hatchback,2
2034,11,Veracruz,SE,SUV,1
2035,11,Entourage,Limited,Minivan,1
2036,13,G35,Journey,Sedan,1
2037,1,Spectra,LX,Sedan,2
2038,14,Compass,Limited,SUV,1
2039,14,Wrangler,X,SUV,2
2040,14,Wrangler,Sahara,SUV,2
2041,10,IS 250,Base,Sedan,2
2042,17,B-Series Truck,B4000,Cab Plus 4,2
2043,17,Mazda6,i Grand Touring,Hatchback,1
2044,15,CLS-Class,CLS63 AMG,Sedan,1
2045,15,R-Class,R500,Wagon,1
2046,17,Mazdaspeed Mazda6,Grand Touring,Sedan,2
2047,15,C-Class,C280 Luxury 4MATIC,Sedan,1
2048,39,Mountaineer,Base,SUV,1
2049,16,Eclipse Spyder,GS,Convertible,1
2050,39,Montego,Premier,Sedan,1
2051,16,Eclipse,SE,Hatchback,2
2052,4,Frontier,LE,Crew Cab,2
2053,16,Raider,LS,Extended Cab,1
2054,4,350Z,Enthusiast,Convertible,1
2055,4,Versa,1.8 SL,Sedan,2
2056,36,G5,GT,Coupe,1
2057,23,Camry,CE,Sedan,2
2058,41,9-3,Aero,Convertible,1
2059,24,B9 Tribeca,Limited 7-Passenger,SUV,1
2060,37,Sky,Base,Convertible,2
2061,42,XL7,Luxury,SUV,1
2062,23,Highlander,Sport,SUV,1
2063,23,FJ Cruiser,Base,SUV,2
2064,23,Camry Solara,SE V6,Convertible,1
2065,22,Jetta,Base PZEV,Sedan,2
2066,22,Jetta,2.5 PZEV,Sedan,2
2067,22,New Beetle,Triple White,Convertible,1
2068,22,Eos,2.0T,Convertible,1
2069,22,Rabbit,Base,Hatchback,1
2070,22,Passat,Base,Sedan,1
2071,22,New Beetle,2.5,Hatchback,1
2072,3,S40,2.4i,Sedan,2
2073,23,Yaris,S,Sedan,2
2074,2,M6,Base,Coupe,1
2075,2,3 Series,330xi,Sedan,2
2076,2,3 Series,325xi,Sedan,1
2077,7,Transit Connect,Wagon Titanium LWB,Minivan,1
2078,8,Escalade EXT,Base,Crew Cab,1
2079,12,Rainier,CXL,SUV,1
2080,5,Silverado 1500HD,LT2,Crew Cab,1
2081,5,Silverado 3500,Work Truck,Crew Cab,1
2082,5,Aveo,LT,Hatchback,2
2083,5,Silverado 2500HD,LS,Regular Cab,1
2084,5,Silverado 1500,LT1,Regular Cab,1
2085,29,PT Cruiser,GT,Convertible,1
2086,5,Silverado 1500,LS,Regular Cab,2
2087,29,Crossfire,Limited,Convertible,2
2088,5,TrailBlazer EXT,LT,SUV,1
2089,29,PT Cruiser,Limited,Wagon,1
2090,27,Sprinter Cargo,2500 140 WB,Van,1
2091,7,Expedition,XLS,SUV,1
2092,27,Ram Pickup 3500,ST,Quad Cab,2
2093,32,Envoy XL,Denali,SUV,1
2094,7,Freestar,SEL,Minivan,1
2095,7,Focus,ZX5 SE,Hatchback,2
2096,7,Focus,ZX5 SE,Hatchback,1
2097,7,Ranger,FX4 Off-Road,SuperCab,2
2098,7,Freestyle,SE,Wagon,1
2099,7,Mustang,Standard,Coupe,2
2100,31,Accord,EX V-6,Sedan,2
2101,31,Accord,LX Special Edition,Sedan,2
2102,31,Accord,LX V-6,Sedan,1
2103,32,Sierra 1500HD,SLT,Crew Cab,1
2104,31,Accord,LX Special Edition,Sedan,1
2105,31,Civic,EX,Sedan,2
2106,11,Tiburon,GT,Hatchback,1
2107,11,Elantra,Limited SULEV,Sedan,1
2108,32,Terrain,SLT-2,SUV,1
2109,31,Accord,Sport,Sedan,2
2110,11,Accent,GLS,Sedan,2
2111,32,Savana,LS 3500,Van,1
2112,32,Sierra 1500,SLE,Double Cab,1
2113,32,Acadia,SLE-2,SUV,1
2114,7,Transit Connect,Wagon XLT LWB,Minivan,1
2115,20,Zephyr,Base,Sedan,1
2116,15,E-Class,E320 CDI,Sedan,1
2117,17,MPV,LX,Minivan,1
2118,38,Quattroporte,Base,Sedan,1
2119,15,S-Class,S500,Sedan,1
2120,15,SLK-Class,SLK55 AMG,Convertible,1
2121,4,350Z,Touring,Convertible,1
2122,16,Galant,SE,Sedan,1
2123,16,Lancer,Ralliart,Sedan,2
2124,36,G6,GTP,Coupe,1
2125,36,G6,GTP,Sedan,1
2126,4,Xterra,X,SUV,2
2127,36,G6,GTP,Convertible,1
2128,42,Forenza,Base,Sedan,2
2129,37,Relay,3,Minivan,1
2130,26,Cayenne,Turbo S,SUV,1
2131,37,ION,3,Sedan,1
2132,42,XL-7,Base,SUV,1
2133,24,Impreza,2.5 i,Sedan,2
2134,41,9-3,2.0T,Convertible,2
2135,24,B9 Tribeca,Limited 5-Passenger,SUV,1
2136,42,Verona,Base,Sedan,1
2137,24,B9 Tribeca,5-Passenger,SUV,1
2138,3,V70,2.5T,Wagon,1
2139,23,Tundra,SR5,Access Cab,2
2140,22,Passat,3.6,Sedan,1
2141,22,Jetta,2.5,Sedan,2
2142,22,Passat,3.6 4Motion,Sedan,1
2143,3,V70,2.4,Wagon,1
2144,22,Jetta,GLI,Sedan,1
2145,2,X3,3.0i,SUV,2
2146,2,6 Series,645Ci,Convertible,1
2147,12,Century,Standard,Sedan,1
2148,5,Silverado 1500,Z71,Crew Cab,1
2149,12,Park Avenue,Ultra,Sedan,1
2150,5,Silverado 1500HD,LT,Crew Cab,1
2151,11,Elantra Coupe,Base,Elantra Coupe,1
2152,13,Q50,Base,Sedan,1
2153,5,Colorado,Z85 LS Base,Crew Cab,1
2154,5,Silverado 2500HD,LT,Extended Cab,1
2155,5,Express,3500,Van,1
2156,5,Colorado,ZQ8,Extended Cab,1
2157,5,Cavalier,Base,Coupe,1
2158,5,Silverado 2500HD,Base,Regular Cab,1
2159,5,Classic,Fleet,Sedan,1
2160,5,Malibu Maxx,LS,Hatchback,1
2161,5,Silverado 3500,LS,Crew Cab,1
2162,5,Silverado 3500,LT,Crew Cab,1
2163,5,TrailBlazer EXT,LS,SUV,1
2164,29,PT Cruiser,Base,Convertible,2
2165,27,Neon,SRT-4,Sedan,2
2166,27,Neon,SXT,Sedan,1
2167,7,Escape,XLT Sport,SUV,1
2168,7,Focus,ZX4 SE,Sedan,2
2169,7,Mustang,GT Deluxe,Coupe,1
2170,7,Freestar,Limited,Minivan,1
2171,7,Ranger,EDGE,SuperCab,1
2172,31,Accord,LX Special Edition PZEV,Coupe,1
2173,32,Sierra 2500HD,SLT,Extended Cab,1
2174,13,G35,Base,Sedan,2
2175,31,Element,LX,SUV,2
2176,11,Elantra,GT,Hatchback,1
2177,21,S-Type,4.2,Sedan,1
2178,11,XG350,L,Sedan,1
2179,14,Wrangler,SE,SUV,1
2180,1,Spectra,Spectra5,Wagon,2
2181,17,Tribute,i,SUV,1
2182,17,Mazda6,s Sport,Sedan,2
2183,17,Mazda6,s Sport,Sedan,1
2184,15,C-Class,C230 Kompressor,Hatchback,1
2185,17,Mazda6,i,Sedan,1
2186,17,Mazda3,i,Sedan,1
2187,15,C-Class,C230 Kompressor,Sedan,2
2188,17,Mazda3,s,Hatchback,2
2189,17,Mazda3,SP23 Special Edition,Sedan,1
2190,13,Q60 Coupe,Journey,Q60 Coupe,1
2191,13,Q50,Sport,Sedan,1
2192,13,Q70,Base,Sedan,1
2193,14,Cherokee,Trailhawk,SUV,1
2194,13,QX50,Journey,SUV,1
2195,13,Q60 Coupe,Base,Q60 Coupe,1
2196,39,Grand Marquis,LS Premium,Sedan,1
2197,4,Altima,2.5 S,Sedan,2
2198,39,Montego,Luxury,Sedan,1
